2432 .False.
#
#
#
#
1.0002	 2.07465	 0.00086
16.0007	 2.0744	 0.01572
31.0012	 2.07236	 0.0293
46.0017	 2.07157	 0.04182
61.0022	 2.07097	 0.05523
76.0027	 2.06993	 0.06864
91.0032	 2.06873	 0.08229
106.004	 2.06711	 0.09593
121.004	 2.0653	 0.1095
136.005	 2.06326	 0.12325
151.005	 2.06088	 0.13675
166.006	 2.05878	 0.14999
181.006	 2.05723	 0.16381
196.007	 2.0557	 0.17888
211.007	 2.0534	 0.2005
226.008	 2.05388	 0.20861
241.008	 2.04794	 0.22436
256.009	 2.04636	 0.24111
271.009	 2.04419	 0.25561
286.01	 2.04155	 0.27712
301.01	 2.02981	 0.2994
316.011	 2.02697	 0.32503
331.011	 2.01551	 0.34313
346.012	 2.00455	 0.36456
361.012	 1.99143	 0.38112
376.013	 1.98247	 0.39637
391.013	 1.97654	 0.42423
406.014	 1.96256	 0.45205
421.014	 1.95749	 0.48676
436.015	 1.93173	 0.54159
451.015	 1.88788	 0.59583
466.016	 1.80344	 0.64165
481.016	 1.71248	 0.63914
496.017	 1.63641	 0.60923
511.017	 1.57701	 0.57066
526.018	 1.53914	 0.52687
541.018	 1.5069	 0.48759
556.019	 1.4784	 0.44604
571.019	 1.45801	 0.40207
586.02	 1.44675	 0.35281
601.02	 1.44389	 0.30807
616.021	 1.45207	 0.26513
631.021	 1.46939	 0.22376
646.022	 1.49408	 0.1956
661.022	 1.52114	 0.17717
676.023	 1.54643	 0.1673
691.023	 1.56323	 0.1631
706.024	 1.57791	 0.15998
721.024	 1.5889	 0.15571
736.025	 1.60212	 0.14991
751.025	 1.61854	 0.14588
766.026	 1.63574	 0.14474
781.026	 1.65177	 0.14411
796.027	 1.66984	 0.15102
811.027	 1.68628	 0.15411
826.028	 1.70635	 0.15998
841.028	 1.73104	 0.17833
856.029	 1.74649	 0.20482
871.029	 1.75437	 0.22973
886.03	 1.75457	 0.25204
901.03	 1.7574	 0.27171
916.031	 1.76292	 0.29411
931.031	 1.76669	 0.324
946.032	 1.76417	 0.35932
961.032	 1.75518	 0.39183
976.033	 1.74595	 0.42921
991.033	 1.72656	 0.47356
1006.03	 1.69291	 0.5227
1021.03	 1.63938	 0.56373
1036.03	 1.57058	 0.58941
1051.04	 1.49612	 0.59366
1066.04	 1.42713	 0.5805
1081.04	 1.36034	 0.55348
1096.04	 1.30107	 0.50991
1111.04	 1.25959	 0.44903
1126.04	 1.24347	 0.3898
1141.04	 1.24033	 0.34304
1156.04	 1.23996	 0.30105
1164.23	 1.24218	 0.2757
1176.24	 1.24613	 0.24401
1188.24	 1.25268	 0.21628
1200.24	 1.26086	 0.19219
1212.24	 1.26998	 0.17134
1224.24	 1.27956	 0.15331
1236.25	 1.28926	 0.1377
1248.25	 1.29885	 0.12416
1260.25	 1.3082	 0.11238
1272.25	 1.31721	 0.10209
1284.26	 1.32584	 0.09307
1296.26	 1.33407	 0.08515
1308.26	 1.34188	 0.07814
1320.26	 1.34929	 0.07194
1332.27	 1.35632	 0.06642
1344.27	 1.36296	 0.06148
1356.27	 1.36925	 0.05706
1368.27	 1.3752	 0.05309
1380.28	 1.38083	 0.04951
1392.28	 1.38617	 0.04627
1404.28	 1.39123	 0.04333
1416.28	 1.39602	 0.04065
1428.29	 1.40058	 0.03822
1440.29	 1.40491	 0.03598
1452.29	 1.40902	 0.03394
1464.29	 1.41294	 0.03206
1476.3	 1.41667	 0.03032
1488.3	 1.42023	 0.02873
1500.3	 1.42362	 0.02725
1512.3	 1.42686	 0.02588
1524.3	 1.42996	 0.02461
1536.31	 1.43292	 0.02343
1548.31	 1.43575	 0.02233
1560.31	 1.43847	 0.02131
1572.31	 1.44107	 0.02035
1584.32	 1.44357	 0.01946
1596.32	 1.44597	 0.01861
1608.32	 1.44828	 0.01782
1620.32	 1.45049	 0.01709
1632.33	 1.45262	 0.01639
1644.33	 1.45468	 0.01574
1656.33	 1.45666	 0.01512
1668.33	 1.45856	 0.01453
1680.34	 1.4604	 0.01399
1692.34	 1.46217	 0.01346
1704.34	 1.46388	 0.01297
1716.34	 1.46554	 0.0125
1728.35	 1.46714	 0.01206
1740.35	 1.46868	 0.01164
1752.35	 1.47018	 0.01124
1764.35	 1.47162	 0.01086
1776.36	 1.47302	 0.0105
1788.36	 1.47438	 0.01015
1800.36	 1.47569	 0.00983
1812.36	 1.47697	 0.00951
1824.36	 1.47821	 0.00921
1836.37	 1.47941	 0.00893
1848.37	 1.48057	 0.00866
1860.37	 1.4817	 0.0084
1872.37	 1.4828	 0.00815
1884.38	 1.48387	 0.00791
1896.38	 1.48491	 0.00768
1908.38	 1.48592	 0.00746
1920.38	 1.4869	 0.00725
1932.39	 1.48785	 0.00704
1944.39	 1.48878	 0.00685
1956.39	 1.48969	 0.00666
1968.39	 1.49057	 0.00648
1980.4	 1.49143	 0.00631
1992.4	 1.49227	 0.00615
2004.4	 1.49308	 0.00598
2016.4	 1.49388	 0.00583
2028.41	 1.49466	 0.00568
2040.41	 1.49541	 0.00554
2052.41	 1.49615	 0.0054
2064.41	 1.49688	 0.00527
2076.42	 1.49758	 0.00514
2088.42	 1.49827	 0.00502
2100.42	 1.49894	 0.0049
2112.42	 1.49959	 0.00478
2124.42	 1.50024	 0.00467
2136.43	 1.50086	 0.00456
2148.43	 1.50148	 0.00446
2160.43	 1.50208	 0.00436
2172.43	 1.50266	 0.00426
2184.44	 1.50324	 0.00416
2196.44	 1.5038	 0.00407
2208.44	 1.50435	 0.00398
2220.44	 1.50489	 0.0039
